episode,timestep,reward
22,2000,-171.683
43,4000,-229.698
66,6000,-164.5476
88,8000,-158.7614
109,10000,-186.7145
131,12000,-168.863
151,14000,-129.042
173,16000,-106.9352
194,18000,-107.0234
216,20000,-104.3766
236,22000,-87.7231
255,24000,-105.1387
276,26000,-92.2469
296,28000,-73.1839
314,30000,-74.2333
326,32000,-50.3578
342,34000,-28.6097
359,36000,-47.5951
372,38000,-48.5521
387,40000,-23.9745
400,42000,-52.2626
411,44000,-58.9948
418,46000,-10.5053
423,48000,-145.3787
429,50000,-52.3132
431,52000,-6.787
438,54000,7.6712
440,56000,-67.7643
443,58000,-91.842
445,60000,95.7534
449,62000,22.2986
454,64000,-63.648
466,66000,-20.8137
473,68000,-43.6589
480,70000,-42.4447
486,72000,14.4942
493,74000,-28.3367
496,76000,-52.7478
502,78000,-71.1806
508,80000,-103.8924
510,82000,39.2162
515,84000,-187.6655
517,86000,-47.2485
519,88000,59.5647
523,90000,-39.3151
526,92000,32.0
529,94000,-24.4316
531,96000,49.6422
535,98000,-62.6905
538,100000,-8.9963
540,102000,18.726
542,104000,88.6469
547,106000,30.1254
550,108000,-141.361
552,110000,36.7461
556,112000,-59.4962
558,114000,23.5616
560,116000,56.5722
565,118000,14.3486
567,120000,100.7081
570,122000,78.2972
573,124000,70.8545
580,126000,5.6822
583,128000,13.1118
587,130000,-15.323
590,132000,62.3612
596,134000,36.4638
598,136000,91.4222
600,138000,133.6526
602,140000,145.4742
606,142000,75.7462
613,144000,97.1792
619,146000,88.972
625,148000,46.8925
631,150000,51.2706
635,152000,88.6968
643,154000,94.6861
647,156000,143.0588
654,158000,187.6724
658,160000,130.7406
664,162000,207.056
673,164000,111.3733
679,166000,216.3773
686,168000,114.7992
694,170000,118.1237
701,172000,103.5897
707,174000,217.4067
714,176000,173.0741
722,178000,191.8151
728,180000,204.8862
734,182000,157.8917
739,184000,186.9837
747,186000,190.9352
753,188000,203.2847
759,190000,171.8797
764,192000,224.156
770,194000,228.8506
778,196000,185.0819
783,198000,232.3717
791,200000,221.5012
