episode,timestep,reward
21,2000,-163.8058
42,4000,-198.8157
64,6000,-147.3486
85,8000,-156.8046
108,10000,-119.7471
131,12000,-118.653
153,14000,-100.8887
175,16000,-96.3552
195,18000,-102.5243
215,20000,-108.1966
235,22000,-87.2478
254,24000,-121.4719
276,26000,-70.973
289,28000,-83.0678
302,30000,-91.9367
322,32000,-79.7783
340,34000,-130.0886
360,36000,-82.6522
368,38000,-74.4117
378,40000,-40.5209
395,42000,-68.0223
406,44000,-59.7793
421,46000,-37.6666
438,48000,-25.3111
451,50000,-67.6024
464,52000,-43.3016
471,54000,-48.2847
476,56000,0.9041
482,58000,-25.3983
486,60000,7.7392
490,62000,-21.0304
494,64000,32.8515
500,66000,-13.4848
505,68000,-57.2391
507,70000,-35.5104
509,72000,38.3496
513,74000,-57.9134
516,76000,60.3148
523,78000,-100.8695
532,80000,-84.0492
538,82000,-32.9497
541,84000,52.5321
547,86000,-32.033
550,88000,-81.058
552,90000,35.6876
556,92000,-37.7263
559,94000,8.121
568,96000,-63.4837
570,98000,91.471
575,100000,-60.351
582,102000,-68.7188
585,104000,46.9243
593,106000,0.0388
598,108000,-22.1498
604,110000,-17.4673
611,112000,29.8277
614,114000,73.4975
619,116000,-19.6133
628,118000,43.1676
634,120000,46.7808
638,122000,81.1955
644,124000,11.0373
650,126000,-24.5531
654,128000,76.8738
660,130000,70.254
666,132000,196.4051
673,134000,-69.0474
677,136000,158.7087
681,138000,153.8307
687,140000,50.6618
694,142000,109.2874
700,144000,120.1829
706,146000,95.5375
710,148000,165.5118
715,150000,103.8161
723,152000,66.9471
729,154000,136.7163
733,156000,230.1268
740,158000,56.1439
745,160000,100.7806
750,162000,137.9977
756,164000,208.9493
763,166000,175.4158
768,168000,247.9865
773,170000,206.4373
778,172000,140.2877
783,174000,154.1795
789,176000,179.7267
796,178000,248.6353
804,180000,245.8781
811,182000,186.195
818,184000,184.5704
825,186000,227.3551
831,188000,189.6825
838,190000,259.6245
846,192000,230.7146
854,194000,239.159
861,196000,277.4173
866,198000,234.8037
873,200000,286.945
881,202000,256.429
888,204000,149.329
895,206000,259.5083
903,208000,226.1132
909,210000,273.455
915,212000,143.926
923,214000,259.7514
929,216000,219.024
934,218000,264.7645
940,220000,215.2362
948,222000,237.7052
954,224000,172.7394
962,226000,198.1718
969,228000,164.1448
977,230000,178.9142
984,232000,194.5838
992,234000,208.7461
1000,236000,227.3417
1007,238000,246.494
1013,240000,212.4472
1021,242000,233.9954
1029,244000,272.779
1036,246000,244.4873
1043,248000,263.9491
1051,250000,186.9254
1058,252000,248.1326
1066,254000,202.7354
1074,256000,202.4218
1082,258000,150.1921
1090,260000,257.699
1098,262000,154.9406
1106,264000,258.8241
1114,266000,189.41
1122,268000,225.5845
1129,270000,215.5864
1136,272000,221.9258
1144,274000,276.0773
1150,276000,206.0238
1157,278000,216.0508
1165,280000,187.9366
1172,282000,138.0644
1180,284000,222.0305
1189,286000,199.255
1197,288000,198.7723
1204,290000,151.9888
1212,292000,178.7601
1220,294000,223.8649
1228,296000,228.0711
1236,298000,182.1329
1244,300000,223.1281
1254,302000,191.1252
1260,304000,257.7606
1268,306000,249.7503
1275,308000,250.842
1282,310000,247.023
1290,312000,237.52
1297,314000,247.002
1305,316000,208.0027
1313,318000,273.1671
1320,320000,268.5427
1327,322000,112.0913
1335,324000,205.9757
1343,326000,247.2606
1352,328000,203.6807
1360,330000,233.3533
1368,332000,244.1937
1376,334000,210.3173
1385,336000,275.0473
1393,338000,247.5225
1401,340000,253.8965
1410,342000,275.2723
1417,344000,268.3132
1425,346000,275.0753
1434,348000,223.9712
1443,350000,243.9855
1450,352000,266.3241
1460,354000,215.9263
1469,356000,215.2916
1477,358000,266.011
1486,360000,252.9599
1493,362000,281.6788
1502,364000,221.1008
1511,366000,269.8976
1522,368000,167.7576
1531,370000,256.7474
1540,372000,227.9844
1549,374000,259.0541
1559,376000,248.5797
1569,378000,274.4098
1575,380000,280.2035
1584,382000,247.9964
1593,384000,290.7476
1601,386000,265.8414
1610,388000,277.1363
1618,390000,280.1125
1626,392000,263.7865
1635,394000,278.0739
1644,396000,287.2483
1653,398000,281.2686
1662,400000,280.7088
1670,402000,275.8771
1679,404000,262.4935
1688,406000,272.0215
1695,408000,264.5593
1705,410000,275.8095
1714,412000,250.1173
1722,414000,267.4351
1730,416000,270.4979
1739,418000,243.2903
1747,420000,259.1057
1755,422000,236.1588
1763,424000,274.8912
1771,426000,271.0639
1780,428000,246.5035
1787,430000,282.5602
1794,432000,249.3786
1803,434000,284.8132
1810,436000,271.1366
1818,438000,284.8194
1826,440000,268.7101
1834,442000,261.6376
1843,444000,247.7074
1852,446000,240.3323
1861,448000,253.2581
1868,450000,273.6203
1875,452000,274.8737
1883,454000,211.4045
1890,456000,283.5255
1899,458000,262.0189
1908,460000,281.8908
1914,462000,266.4969
1920,464000,256.2815
1927,466000,257.092
1934,468000,280.0688
1940,470000,204.3797
1949,472000,275.7683
1958,474000,243.9985
1966,476000,249.7321
1974,478000,272.4264
1983,480000,269.6169
1992,482000,216.2172
2001,484000,206.9439
2012,486000,224.624
2020,488000,272.8113
2027,490000,233.4061
2035,492000,245.6768
2044,494000,256.686
2053,496000,250.771
2057,498000,240.0005
2062,500000,238.931
2068,502000,277.8342
2077,504000,214.9794
2085,506000,199.9754
2094,508000,258.6585
2100,510000,280.7605
2108,512000,259.1885
2115,514000,238.5636
2123,516000,216.2501
2128,518000,235.0813
2137,520000,217.5417
2145,522000,263.2483
2153,524000,226.5883
2161,526000,270.5496
2170,528000,266.96
2176,530000,245.0544
2184,532000,169.3397
2191,534000,276.0613
2198,536000,237.3668
2206,538000,256.0848
2215,540000,273.3502
2224,542000,287.3148
2233,544000,234.8771
2238,546000,247.9603
2247,548000,270.9225
2256,550000,254.4573
2266,552000,241.7902
2274,554000,276.7869
2284,556000,246.0729
2293,558000,275.0974
2302,560000,274.6925
2311,562000,210.4872
2320,564000,226.587
2331,566000,244.1615
2336,568000,261.0313
2343,570000,248.1521
2353,572000,243.8349
2364,574000,229.2076
2373,576000,261.3031
2381,578000,252.4156
2390,580000,210.0783
2400,582000,248.0023
2409,584000,250.0857
2416,586000,233.7737
2425,588000,207.8109
2435,590000,264.7582
2444,592000,247.6422
2454,594000,206.634
2462,596000,287.7632
2472,598000,220.1897
2482,600000,265.1323
2491,602000,262.4652
2501,604000,218.4998
2511,606000,229.6919
2520,608000,268.8159
2528,610000,266.1703
2539,612000,200.2887
2549,614000,252.8272
2555,616000,242.2742
2564,618000,265.9445
2573,620000,209.6066
2579,622000,246.2218
2585,624000,266.1489
2593,626000,266.238
2602,628000,270.8997
2610,630000,263.9807
2618,632000,224.3543
2627,634000,247.368
2636,636000,243.3997
2644,638000,263.2844
2653,640000,224.9792
2661,642000,213.5378
2670,644000,272.8234
2679,646000,204.8236
2688,648000,267.3504
2697,650000,264.9238
2705,652000,255.1956
2715,654000,275.4268
2723,656000,260.3824
2732,658000,277.1806
2741,660000,268.2256
2753,662000,227.3486
2764,664000,243.964
2773,666000,238.5137
2782,668000,275.3561
2792,670000,262.5529
2802,672000,212.0687
2812,674000,245.2808
2820,676000,241.0496
2829,678000,258.0941
2838,680000,286.2009
2850,682000,237.9746
2858,684000,253.0699
2867,686000,239.3949
2877,688000,220.2235
2887,690000,287.795
2897,692000,235.9603
2907,694000,220.07
2915,696000,252.2717
2923,698000,264.0888
2933,700000,260.9662
2942,702000,275.8724
2948,704000,262.5385
2957,706000,213.1904
2968,708000,229.613
2978,710000,272.9269
2987,712000,277.2408
2992,714000,174.3944
3002,716000,212.6354
3014,718000,161.3434
3025,720000,209.4524
3036,722000,264.6421
3047,724000,240.1886
3057,726000,231.2395
3061,728000,155.6648
3070,730000,235.5961
3080,732000,272.5729
3089,734000,286.4991
3099,736000,245.4584
3108,738000,247.3524
3117,740000,280.1534
3123,742000,279.1313
3133,744000,227.5157
3142,746000,251.0759
3147,748000,260.0815
3156,750000,274.3648
3166,752000,276.9016
3176,754000,302.3576
3185,756000,239.5099
3193,758000,243.204
3202,760000,262.3469
3212,762000,240.1989
3223,764000,252.7226
3233,766000,256.0725
3240,768000,284.7278
3250,770000,275.2954
3260,772000,258.7904
3264,774000,281.1591
3267,776000,193.8689
3269,778000,295.9871
3273,780000,267.1284
3276,782000,259.0673
3279,784000,129.3882
3283,786000,233.4092
3289,788000,219.6322
3294,790000,257.8699
3301,792000,200.7234
3305,794000,277.9667
3311,796000,212.014
3320,798000,252.9836
