episode,timestep,reward
22,2000,-233.7317
45,4000,-156.7201
67,6000,-163.4947
90,8000,-151.2972
114,10000,-120.083
134,12000,-141.8928
154,14000,-121.564
177,16000,-120.3628
196,18000,-107.1832
217,20000,-89.8502
237,22000,-103.3161
258,24000,-93.885
277,26000,-86.397
297,28000,-101.4124
317,30000,-81.2914
337,32000,-80.5873
356,34000,-58.1462
374,36000,-69.6814
392,38000,-49.3753
404,40000,-57.0757
418,42000,-56.7938
432,44000,-42.2997
448,46000,-43.9516
462,48000,-38.8701
478,50000,-32.297
492,52000,-39.665
502,54000,-37.0483
511,56000,-15.851
525,58000,-18.4478
540,60000,-29.6002
550,62000,-34.461
563,64000,-6.2716
569,66000,-4.1359
573,68000,88.639
580,70000,-2.6375
588,72000,5.2811
600,74000,-40.8094
607,76000,-36.816
614,78000,61.9298
620,80000,-11.5733
631,82000,-5.0175
636,84000,56.6609
641,86000,158.5319
646,88000,-79.504
651,90000,35.6704
654,92000,-117.6971
659,94000,0.2447
664,96000,-50.6196
673,98000,-60.4
680,100000,56.9225
685,102000,74.4841
693,104000,-9.458
701,106000,-27.7632
706,108000,-69.7534
716,110000,6.1922
727,112000,-45.9577
733,114000,-22.3886
739,116000,9.8142
744,118000,80.9373
753,120000,-43.9566
758,122000,71.8555
763,124000,171.0252
768,126000,110.5663
772,128000,57.8437
780,130000,52.0308
787,132000,52.2438
794,134000,82.1625
799,136000,65.1298
805,138000,53.4636
809,140000,90.0076
816,142000,4.2022
822,144000,54.3447
826,146000,128.2651
829,148000,156.7443
834,150000,115.066
840,152000,112.556
845,154000,58.2203
848,156000,224.0864
853,158000,147.9252
858,160000,78.7389
862,162000,-79.4659
866,164000,-11.6984
870,166000,27.6985
876,168000,27.0868
882,170000,66.1173
884,172000,43.3105
889,174000,23.0007
895,176000,91.2532
897,178000,78.307
900,180000,142.9297
904,182000,68.7557
908,184000,32.9882
910,186000,166.1961
915,188000,56.364
918,190000,92.549
921,192000,75.494
923,194000,-59.4858
926,196000,77.1323
928,198000,123.1302
932,200000,57.3104
936,202000,21.7083
938,204000,133.3424
940,206000,91.867
942,208000,121.8487
944,210000,81.5168
946,212000,82.77
948,214000,-60.0224
953,216000,6.4363
955,218000,117.5378
958,220000,42.0358
960,222000,128.8471
962,224000,44.6777
964,226000,96.7424
966,228000,52.6319
969,230000,74.5975
972,232000,72.9656
975,234000,105.0232
978,236000,69.5525
981,238000,90.0097
984,240000,78.2564
989,242000,2.1126
991,244000,128.866
995,246000,78.7557
997,248000,97.2326
999,250000,137.0051
1001,252000,97.7653
1004,254000,97.2482
1009,256000,46.6133
1011,258000,133.2146
1013,260000,136.5972
1015,262000,132.9396
1017,264000,126.875
1020,266000,89.2755
1023,268000,60.3342
1029,270000,51.6504
1032,272000,58.7062
1034,274000,140.3965
1037,276000,30.506
1042,278000,55.0786
1046,280000,79.8973
1050,282000,80.5314
1053,284000,102.243
1056,286000,100.3752
1058,288000,57.6223
1060,290000,109.5515
1062,292000,114.4392
1067,294000,62.3744
1069,296000,-5.4454
1073,298000,44.4896
1075,300000,123.2995
1082,302000,30.0886
1084,304000,156.3845
1086,306000,93.6053
1089,308000,72.6712
1092,310000,114.1396
1097,312000,61.5893
1102,314000,56.3958
1105,316000,62.4737
1110,318000,28.2168
1112,320000,178.3784
1115,322000,51.2068
1117,324000,113.1854
1123,326000,86.4057
1127,328000,46.3727
1132,330000,-8.8872
1134,332000,103.9062
1136,334000,146.0575
1138,336000,101.2431
1141,338000,74.5267
1145,340000,51.7491
1147,342000,147.6024
1151,344000,65.7085
1154,346000,70.0077
1157,348000,120.9365
1163,350000,69.063
1166,352000,7.9528
1169,354000,101.391
1171,356000,147.1319
1173,358000,130.7028
1176,360000,116.2538
1178,362000,137.2758
1181,364000,91.93
1183,366000,128.0322
1185,368000,136.9119
1187,370000,120.5204
1190,372000,34.8875
1192,374000,147.6521
1197,376000,66.3233
1199,378000,151.8349
1201,380000,151.6995
1203,382000,103.7286
1206,384000,105.912
1208,386000,42.0073
1210,388000,163.3018
1212,390000,55.4469
1214,392000,127.7363
1216,394000,140.0316
1218,396000,140.5999
1220,398000,27.5347
1222,400000,81.8805
1224,402000,120.9513
1226,404000,110.3792
1228,406000,150.9719
1230,408000,141.2651
1234,410000,69.9312
1236,412000,93.7187
