episode,timestep,reward
20,2000,-186.395
40,4000,-261.1242
57,6000,-227.3967
77,8000,-254.5123
96,10000,-176.4927
115,12000,-201.9057
133,14000,-135.0782
152,16000,-129.1478
172,18000,-134.5738
191,20000,-157.1149
211,22000,-109.2591
228,24000,-167.4691
245,26000,-106.9708
266,28000,-113.7071
283,30000,-92.7661
300,32000,-105.6653
316,34000,-108.7898
334,36000,-57.3286
352,38000,-100.8272
370,40000,-125.9809
388,42000,-87.857
404,44000,-104.4212
420,46000,-72.3296
435,48000,-78.7285
443,50000,-68.9292
457,52000,-75.7562
462,54000,-3.444
475,56000,-33.347
490,58000,-25.5254
508,60000,-40.1218
517,62000,-28.6919
532,64000,-32.1239
540,66000,-19.6096
550,68000,-37.6584
558,70000,0.7889
566,72000,-36.6153
572,74000,-46.7532
577,76000,-10.3205
590,78000,-37.5194
603,80000,-28.5159
606,82000,30.4668
613,84000,-11.2746
619,86000,-32.0651
625,88000,17.3744
628,90000,74.1004
635,92000,-24.9366
638,94000,24.1845
644,96000,36.8545
646,98000,39.3914
651,100000,-6.3817
656,102000,-5.5416
662,104000,22.8253
665,106000,7.8914
668,108000,29.885
673,110000,6.6633
675,112000,59.4928
677,114000,58.1346
679,116000,60.0675
683,118000,39.2156
685,120000,-27.2231
688,122000,-22.2192
690,124000,40.9858
693,126000,1.2836
697,128000,-59.7484
699,130000,15.7649
702,132000,-91.1834
707,134000,-51.286
709,136000,-8.5505
711,138000,-11.9586
714,140000,7.0495
716,142000,68.8675
718,144000,77.6796
721,146000,49.056
723,148000,93.9279
725,150000,-105.5934
727,152000,75.8263
729,154000,5.6373
732,156000,9.3236
734,158000,41.3057
736,160000,53.449
738,162000,42.744
740,164000,29.6864
742,166000,100.4277
744,168000,78.1725
746,170000,124.8765
748,172000,70.1794
750,174000,101.6577
752,176000,75.2304
754,178000,66.234
756,180000,100.5674
758,182000,94.2033
760,184000,124.7439
762,186000,91.4044
764,188000,98.7995
767,190000,36.0805
769,192000,132.7601
771,194000,113.5073
773,196000,106.4478
775,198000,78.3644
777,200000,124.5057
779,202000,107.0776
781,204000,123.228
783,206000,79.3441
785,208000,106.7334
787,210000,83.2567
789,212000,99.3886
791,214000,23.1306
793,216000,95.7687
795,218000,118.2805
797,220000,40.3789
799,222000,43.5402
801,224000,105.4475
803,226000,121.22
805,228000,85.3755
808,230000,129.9016
810,232000,49.6741
812,234000,102.9028
814,236000,82.0455
816,238000,103.4459
818,240000,112.1438
820,242000,126.1213
822,244000,89.0966
824,246000,125.2414
827,248000,26.8576
829,250000,103.4738
832,252000,14.5745
834,254000,133.3312
836,256000,120.6707
838,258000,114.8533
840,260000,94.8157
843,262000,60.4071
845,264000,100.7263
847,266000,132.9743
849,268000,86.1592
851,270000,71.9356
853,272000,132.2419
855,274000,119.3299
857,276000,91.6756
859,278000,143.9136
862,280000,56.2359
864,282000,129.0161
866,284000,77.4693
869,286000,52.4388
871,288000,92.5117
873,290000,47.2305
875,292000,79.5338
877,294000,84.1045
879,296000,47.5574
881,298000,43.5317
883,300000,102.6273
886,302000,105.3226
888,304000,63.9961
890,306000,101.2698
892,308000,124.2897
894,310000,115.2125
896,312000,104.9783
898,314000,68.2297
900,316000,88.2401
902,318000,75.3292
904,320000,74.4832
906,322000,71.8275
908,324000,75.1034
910,326000,87.3597
912,328000,86.3368
914,330000,109.7182
916,332000,78.1787
918,334000,99.3168
920,336000,81.9551
922,338000,90.2946
924,340000,107.5782
926,342000,138.4383
928,344000,87.7131
930,346000,86.3189
932,348000,101.7006
934,350000,118.2973
936,352000,81.5221
938,354000,85.8644
940,356000,136.8505
942,358000,83.5084
944,360000,96.3657
946,362000,93.6646
948,364000,75.426
950,366000,83.6118
952,368000,72.5141
954,370000,54.1654
956,372000,77.1518
958,374000,86.867
960,376000,87.8829
962,378000,41.406
964,380000,38.5353
966,382000,78.3479
968,384000,62.7565
970,386000,67.9263
972,388000,83.2041
974,390000,65.8896
976,392000,103.4302
978,394000,86.9971
980,396000,68.9319
982,398000,101.5145
984,400000,73.3826
986,402000,68.4236
988,404000,78.9953
990,406000,79.4473
992,408000,84.8391
994,410000,94.5627
996,412000,103.6048
998,414000,103.084
1000,416000,117.8619
1002,418000,121.2511
1004,420000,106.2848
1006,422000,91.3596
1008,424000,80.9239
1010,426000,118.0415
1012,428000,119.8816
1014,430000,104.5395
1016,432000,139.0701
1018,434000,94.6607
1020,436000,125.8683
1023,438000,66.1141
