episode,timestep,reward
22,2000,-240.4733
44,4000,-217.1547
69,6000,-146.8475
90,8000,-160.9073
113,10000,-129.193
133,12000,-156.2198
157,14000,-150.0857
181,16000,-129.7637
204,18000,-118.9442
229,20000,-125.5256
253,22000,-102.7096
274,24000,-101.9483
295,26000,-126.5992
315,28000,-109.9734
335,30000,-93.202
356,32000,-108.5581
378,34000,-89.5458
397,36000,-88.5856
414,38000,-90.7324
431,40000,-83.0487
448,42000,-120.0554
465,44000,-70.5659
481,46000,-47.9451
499,48000,-59.8442
515,50000,-64.8364
532,52000,-56.0298
545,54000,-24.6252
554,56000,-17.0357
563,58000,-27.8419
576,60000,-58.0454
588,62000,-25.7893
596,64000,0.3694
605,66000,24.1066
614,68000,-26.1759
617,70000,-32.8615
624,72000,23.281
632,74000,15.8511
635,76000,23.1098
641,78000,-11.1682
645,80000,-8.5137
648,82000,69.4485
651,84000,-2.3265
655,86000,30.6395
661,88000,59.1616
666,90000,83.829
670,92000,46.6548
677,94000,51.3494
682,96000,25.681
689,98000,61.7877
696,100000,125.6084
701,102000,80.0325
708,104000,172.8539
714,106000,209.3704
722,108000,121.8619
727,110000,252.5121
735,112000,174.0609
743,114000,178.3045
748,116000,267.1206
755,118000,190.7343
759,120000,174.3191
766,122000,184.1858
771,124000,139.7815
779,126000,169.9011
786,128000,227.9472
794,130000,113.7379
801,132000,146.1726
809,134000,170.5159
817,136000,143.0313
822,138000,168.6559
828,140000,248.9454
834,142000,165.2961
842,144000,237.2606
851,146000,157.1901
859,148000,217.3043
865,150000,266.1239
872,152000,256.6463
879,154000,210.559
885,156000,259.2408
889,158000,149.0436
896,160000,177.7231
903,162000,253.0601
907,164000,192.9068
914,166000,153.1544
919,168000,238.8436
926,170000,185.4454
934,172000,230.1982
941,174000,218.6597
947,176000,258.6753
954,178000,213.4226
961,180000,182.0315
968,182000,244.9033
974,184000,201.1508
980,186000,179.0382
988,188000,173.2972
993,190000,246.9179
998,192000,229.3868
1004,194000,203.9866
1012,196000,205.7605
1018,198000,248.4794
1025,200000,227.98
1031,202000,216.6302
1039,204000,239.0081
